project,precinct,building,base_surf,surf_type,surf_id,surf_area,surf_irr,surf_cx,surf_cy,surf_cz,surf_nx,surf_ny,surf_nz
jl-bahagia,prc-00,blk-27,roof-02,PV-module,21,2.584383,1615.85,113.325228,-40.415869,-58.676462,-0.106549,-0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,22,2.584388,1605.43,112.429789,-39.720052,-58.676462,-0.106549,-0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,23,2.584387,1605.66,93.62572,-25.107948,-58.676462,-0.106549,-0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,24,2.584387,1619.73,92.730288,-24.412134,-58.676462,-0.106549,-0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,25,2.584387,1620.23,91.834857,-23.716318,-58.676462,-0.106549,-0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,26,2.584388,1618.48,90.939425,-23.020506,-58.676462,-0.106549,-0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,27,2.584385,1631.97,90.043994,-22.32469,-58.676462,-0.106549,-0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,28,2.584388,1632.02,89.148562,-21.628876,-58.676462,-0.106549,-0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,29,2.584387,1630.31,88.253131,-20.933061,-58.676462,-0.106549,-0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,30,2.584387,1624.92,87.357699,-20.237247,-58.676462,-0.106549,-0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,31,2.584387,1625.16,86.462268,-19.541433,-58.676462,-0.106549,-0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,32,2.584388,1629.22,85.566836,-18.845619,-58.676462,-0.106549,-0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,33,2.584385,1634.47,84.671405,-18.149805,-58.676462,-0.106549,-0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,34,2.584388,1634.93,83.775973,-17.453989,-58.676462,-0.106549,-0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,35,2.584387,1636.56,82.880542,-16.758175,-58.676462,-0.106549,-0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,36,2.584387,1630.08,81.98511,-16.062361,-58.676462,-0.106549,-0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,37,2.584392,1628.05,81.089679,-15.366546,-58.676462,-0.106549,-0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,38,2.584382,1631.33,80.194247,-14.670731,-58.676462,-0.10655,-0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,39,2.584382,1629.7,79.298808,-13.974916,-58.676462,-0.10655,-0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,40,2.584381,1629.84,78.403384,-13.279102,-58.676462,-0.106549,-0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,41,2.584382,1630.43,77.507945,-12.583289,-58.676462,-0.10655,-0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,42,2.584382,1633.85,76.612521,-11.887474,-58.676462,-0.10655,-0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,43,2.584381,1634.77,75.717082,-11.19166,-58.676462,-0.106549,-0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,44,2.584392,1629.77,74.82165,-10.495845,-58.676462,-0.106549,-0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,45,2.584382,1623.34,128.160525,-58.28718,-58.676462,-0.106549,-0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,46,2.584378,1635.93,127.265094,-57.591364,-58.676462,-0.10655,-0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,47,2.584388,1624.69,126.369662,-56.895551,-58.676462,-0.106549,-0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,48,2.584383,1629.05,125.474231,-56.199735,-58.676462,-0.106549,-0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,49,2.584388,1623.99,124.578799,-55.503927,-58.676462,-0.106549,-0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,50,2.584391,1625.03,123.683367,-54.808111,-58.676462,-0.106549,-0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,51,2.584382,1630.61,122.787936,-54.112295,-58.676462,-0.106549,-0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,52,2.584383,1634.26,121.892497,-53.416479,-58.676462,-0.10655,-0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,53,2.584378,1635.17,120.997073,-52.720667,-58.676462,-0.106549,-0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,54,2.584383,1628.73,120.101634,-52.024851,-58.676462,-0.10655,-0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,55,2.584382,1625.11,119.20621,-51.329035,-58.676462,-0.106549,-0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,56,2.584382,1628.28,118.310771,-50.633219,-58.676462,-0.106549,-0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,57,2.584391,1631.55,117.415339,-49.937406,-58.676462,-0.106549,-0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,58,2.584387,1629.2,116.519908,-49.241598,-58.676462,-0.106549,-0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,59,2.584388,1641.11,115.624484,-48.545774,-58.676462,-0.106549,-0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,60,2.584387,1641.68,114.729045,-47.849966,-58.676462,-0.106549,-0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,61,2.584387,1629.06,113.833606,-47.15415,-58.676462,-0.106549,-0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,62,2.584387,1626.08,112.938182,-46.458334,-58.676462,-0.106549,-0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,63,2.584387,1629.42,112.042758,-45.762522,-58.676462,-0.106549,-0.137116,0.984808
