project,precinct,building,base_surf,surf_type,surf_id,surf_area,surf_irr,surf_cx,surf_cy,surf_cz,surf_nx,surf_ny,surf_nz
sin_ming,prc-00,blk-00,roof-01,PV-module,39,1.942361,1642.89,10.802078,-25.820962,-38.565473,0.156241,-0.075779,0.984808
sin_ming,prc-00,blk-00,roof-01,PV-module,40,1.942363,1639.71,12.553678,-26.670507,-38.565473,-0.156242,0.075779,0.984808
sin_ming,prc-00,blk-00,roof-01,PV-module,41,1.94236,1643.89,10.369613,-26.712622,-38.565473,0.156241,-0.075779,0.984808
sin_ming,prc-00,blk-00,roof-01,PV-module,42,1.942359,1633.6,12.121216,-27.562166,-38.565473,-0.156241,0.075779,0.984808
sin_ming,prc-00,blk-00,roof-01,PV-module,43,1.942359,1645.05,9.937149,-27.604279,-38.565473,0.156241,-0.075779,0.984808
sin_ming,prc-00,blk-00,roof-01,PV-module,44,1.94236,1635.9,11.688752,-28.453826,-38.565473,-0.156241,0.075779,0.984808
sin_ming,prc-00,blk-00,roof-01,PV-module,45,1.942359,1643.07,9.504687,-28.49594,-38.565473,0.156241,-0.075779,0.984808
sin_ming,prc-00,blk-00,roof-01,PV-module,46,1.94236,1632.72,11.256287,-29.345483,-38.565473,-0.156241,0.075779,0.984808
sin_ming,prc-00,blk-00,roof-01,PV-module,47,1.942358,1584.83,32.928644,5.30095,-38.565473,-0.156242,0.075779,0.984808
sin_ming,prc-00,blk-00,roof-01,PV-module,48,1.942357,1596.42,32.496183,4.40929,-38.565473,-0.156242,0.075778,0.984808
sin_ming,prc-00,blk-00,roof-01,PV-module,49,1.94236,1599.45,32.063719,3.517631,-38.565473,-0.156241,0.075779,0.984808
sin_ming,prc-00,blk-00,roof-01,PV-module,50,1.942359,1617.96,31.631254,2.625972,-38.565473,-0.156241,0.075779,0.984808
sin_ming,prc-00,blk-00,roof-01,PV-module,51,1.942358,1627.92,31.198789,1.734313,-38.565473,-0.156242,0.075779,0.984808
sin_ming,prc-00,blk-00,roof-01,PV-module,52,1.94236,1628.05,30.766325,0.842654,-38.565473,-0.156241,0.075779,0.984808
sin_ming,prc-00,blk-00,roof-01,PV-module,53,1.942361,1625.79,30.333862,-0.049005,-38.565473,-0.156241,0.075779,0.984808
sin_ming,prc-00,blk-00,roof-01,PV-module,54,1.942362,1560.24,31.177044,6.150495,-38.565473,0.156241,-0.075779,0.984808
sin_ming,prc-00,blk-00,roof-01,PV-module,55,1.942361,1594.29,30.74458,5.258836,-38.565473,0.156241,-0.075779,0.984808
sin_ming,prc-00,blk-00,roof-01,PV-module,56,1.94236,1609.47,30.312115,4.367176,-38.565473,0.156241,-0.075779,0.984808
