project,precinct,building,base_surf,surf_type,surf_id,surf_vid,surf_vx,surf_vy,surf_vz
sin_ming,prc-00,blk-00,roof-01,PV-module,134,1,28.844215,-6.485667,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,134,2,30.580948,-7.328,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,134,3,31.013411,-6.436341,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,135,0,32.332546,-8.177545,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,135,1,32.765011,-7.285886,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,135,2,31.028282,-6.443553,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,135,3,30.595818,-7.335212,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,136,0,28.844215,-6.485667,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,136,1,28.411751,-7.377326,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,136,2,30.148483,-8.21966,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,136,3,30.580948,-7.328,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,137,0,31.900085,-9.069203,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,137,1,32.332546,-8.177545,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,137,2,30.595818,-7.335212,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,137,3,30.163353,-8.226871,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,138,0,28.411751,-7.377326,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,138,1,27.979288,-8.268986,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,138,2,29.716019,-9.111319,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,138,3,30.148483,-8.21966,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,139,0,31.467621,-9.960863,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,139,1,31.900085,-9.069203,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,139,2,30.163353,-8.226871,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,139,3,29.73089,-9.11853,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,140,0,27.979288,-8.268986,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,140,1,27.546824,-9.160645,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,140,2,29.283556,-10.002977,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,140,3,29.716019,-9.111319,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,141,0,31.035158,-10.852522,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,141,1,31.467621,-9.960863,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,141,2,29.73089,-9.11853,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,141,3,29.298426,-10.010189,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,142,0,27.546824,-9.160645,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,142,1,27.114359,-10.052303,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,142,2,28.851091,-10.894637,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,142,3,29.283556,-10.002977,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,143,0,30.602694,-11.744181,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,143,1,31.035158,-10.852522,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,143,2,29.298426,-10.010189,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,143,3,28.865963,-10.901848,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,144,0,27.114359,-10.052303,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,144,1,26.681896,-10.943963,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,144,2,28.418627,-11.786296,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,144,3,28.851091,-10.894637,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,145,0,30.170229,-12.63584,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,145,1,30.602694,-11.744181,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,145,2,28.865963,-10.901848,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,145,3,28.433498,-11.793508,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,146,0,26.681896,-10.943963,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,146,1,26.249432,-11.835622,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,146,2,27.986164,-12.677955,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,146,3,28.418627,-11.786296,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,147,0,29.737766,-13.527499,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,147,1,30.170229,-12.63584,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,147,2,28.433498,-11.793508,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,147,3,28.001034,-12.685166,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,148,0,26.249432,-11.835622,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,148,1,25.816967,-12.727281,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,148,2,27.553699,-13.569614,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,148,3,27.986164,-12.677955,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,149,0,29.305302,-14.419158,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,149,1,29.737766,-13.527499,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,149,2,28.001034,-12.685166,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,149,3,27.568571,-13.576825,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,150,0,25.816967,-12.727281,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,150,1,25.384504,-13.61894,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,150,2,27.121235,-14.461273,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,150,3,27.553699,-13.569614,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,151,0,28.872839,-15.310818,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,151,1,29.305302,-14.419158,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,151,2,27.568571,-13.576825,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,151,3,27.136106,-14.468485,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,152,0,25.384504,-13.61894,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,152,1,24.95204,-14.510599,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,152,2,26.688772,-15.352932,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,152,3,27.121235,-14.461273,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,153,0,28.440374,-16.202478,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,153,1,28.872839,-15.310818,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,153,2,27.136106,-14.468485,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,153,3,26.703642,-15.360144,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,154,0,24.95204,-14.510599,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,154,1,24.519575,-15.402258,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,154,2,26.256308,-16.244591,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,154,3,26.688772,-15.352932,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,155,0,28.00791,-17.094137,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,155,1,28.440374,-16.202478,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,155,2,26.703642,-15.360144,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,155,3,26.271179,-16.251804,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,156,0,24.519575,-15.402258,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,156,1,24.087112,-16.293917,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,156,2,25.823843,-17.13625,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,156,3,26.256308,-16.244591,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,157,0,27.575447,-17.985796,-38.395294
